sequence,mesh terms,abstract
"[('administration', 'E02.319.283.199'), ('aged', 'M01.060.116.100.080'), ('antimetabolites', 'D27.888.569.042.030'), ('capecitabine', 'D13.570.685.245.500.425'), ('hand-foot syndrome', 'C25.100.468.380.587'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('milk thistle', 'B01.650.940.800.575.100.100.525'), ('phytotherapy', 'E02.190.755'), ('silymarin', 'D03.633.100.150.266.450.268.777')]","['Administration, Cutaneous', 'Aged', 'Antimetabolites, Antineoplastic', 'Capecitabine', 'Female', 'Hand-Foot Syndrome', 'Humans', 'Male', 'Middle Aged', 'Milk Thistle', 'Phytotherapy', 'Silymarin']","b'Hand-foot syndrome (HFS) is a frequent dose-limiting adverse reaction of capecitabine in patient with gastrointestinal cancers. Silymarin is a polyphenolic flavonoid extracted from the Silybum marianum that exhibits strong antioxidant and antiinflammatory activities. In this study, we evaluated silymarin efficacy in prevention of capecitabine-induced HFS in patients with gastrointestinal cancers, as the first human study. During this pilot, randomized, double-blinded, placebo-controlled clinical trial, the effect of silymarin gel 1%, which is applied on the palms and soles twice daily starting at the first day of chemotherapy for 9\xc2\xa0weeks, on HFS occurrence was assessed. Forty patients fulfilled the inclusion criteria assigned to the silymarin or placebo group. World Health Organization HFS grading scale scores were recorded at baseline and every 3\xc2\xa0weeks during these 9\xc2\xa0weeks. The median WHO HFS scores were significantly lower in silymarin group at the end of the 9(th) week (p\xc2\xa0<\xc2\xa00.05). The scores increased significantly in both placebo and silymarin groups during chemotherapy, but there was a delay for HFS development and progression in silymarin group. Prophylactic administration of silymarin topical formulation could significantly reduce the severity of capecitabine-induced HFS and delays its occurrence in patients with gastrointestinal cancer after 9\xc2\xa0weeks of application. Copyright \xc2\xa9 2017 John Wiley & Sons, Ltd.'"
"[('administration', 'E02.319.283.199'), ('aged', 'M01.060.116.100.080'), ('antimetabolites', 'D27.888.569.042.030'), ('capecitabine', 'D13.570.685.245.500.425'), ('hand-foot syndrome', 'C25.100.468.380.587'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('milk thistle', 'B01.650.940.800.575.100.100.525'), ('phytotherapy', 'E02.190.755'), ('silymarin', 'D03.633.100.150.266.450.268.777')]","['Administration, Cutaneous', 'Aged', 'Antimetabolites, Antineoplastic', 'Capecitabine', 'Female', 'Hand-Foot Syndrome', 'Humans', 'Male', 'Middle Aged', 'Milk Thistle', 'Phytotherapy', 'Silymarin']","b'We investigated the efficacy and safety of 60, 120, or 240\xc2\xa0mg of Z-360, which is a highly potent cholecystokinin2-receptor-selective antagonist, combined with gemcitabine in patients with metastatic pancreatic cancer.'"
"[('anilides', 'D02.092.146.113'), ('antineoplastic agents', 'D27.888.569.035.035'), ('calcium', 'D23.119.100'), ('carcinoma', 'C19.391.630.705.331'), ('double-blind method', 'N06.850.520.445.300'), ('electrocardiography', 'E01.370.520.500.230'), ('electrolytes', 'D01.248'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('linear models', 'N06.850.520.830.750.425'), ('long qt syndrome', 'C23.550.073.547'), ('neoplasm metastasis', 'C23.550.727.650'), ('nonlinear dynamics', 'H01.548.675'), ('potassium', 'D01.745.660'), ('pyridines', 'D03.383.725'), ('thyroid neoplasms', 'C19.874.788'), ('time factors', 'G01.910.857')]","['Anilides', 'Antineoplastic Agents', 'Calcium', 'Carcinoma, Neuroendocrine', 'Double-Blind Method', 'Electrocardiography', 'Electrolytes', 'Female', 'Humans', 'Linear Models', 'Long QT Syndrome', 'Male', 'Neoplasm Metastasis', 'Nonlinear Dynamics', 'Potassium', 'Pyridines', 'Thyroid Neoplasms', 'Time Factors']","b'This study evaluated factors impacting QTc interval in a phase 3 trial of cabozantinib in progressive, metastatic, medullary thyroid cancer (MTC).'"
"[('anilides', 'D02.092.146.113'), ('antineoplastic agents', 'D27.888.569.035.035'), ('calcium', 'D23.119.100'), ('carcinoma', 'C19.391.630.705.331'), ('double-blind method', 'N06.850.520.445.300'), ('electrocardiography', 'E01.370.520.500.230'), ('electrolytes', 'D01.248'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('linear models', 'N06.850.520.830.750.425'), ('long qt syndrome', 'C23.550.073.547'), ('neoplasm metastasis', 'C23.550.727.650'), ('nonlinear dynamics', 'H01.548.675'), ('potassium', 'D01.745.660'), ('pyridines', 'D03.383.725'), ('thyroid neoplasms', 'C19.874.788'), ('time factors', 'G01.910.857')]","['Anilides', 'Antineoplastic Agents', 'Calcium', 'Carcinoma, Neuroendocrine', 'Double-Blind Method', 'Electrocardiography', 'Electrolytes', 'Female', 'Humans', 'Linear Models', 'Long QT Syndrome', 'Male', 'Neoplasm Metastasis', 'Nonlinear Dynamics', 'Potassium', 'Pyridines', 'Thyroid Neoplasms', 'Time Factors']",b'Unruptured intracranial aneurysms (UIAs) are increasingly diagnosed and are commonly treated using endovascular treatment or microsurgical clipping. The safety and efficacy of treatments have not been compared in a randomised trial. How to treat patients with UIAs suitable for both options remains unknown.'
"[('acetylcysteine', 'D12.125.166.230.259'), ('double-blind method', 'N06.850.520.445.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('nitrates', 'D02.583'), ('percutaneous coronary intervention', 'E04.502.382.968'), ('st elevation myocardial infarction', 'C14.907.585.500.875'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Acetylcysteine', 'Double-Blind Method', 'Female', 'Humans', 'Male', 'Middle Aged', 'Nitrates', 'Percutaneous Coronary Intervention', 'ST Elevation Myocardial Infarction', 'Treatment Outcome']","b'Contemporary ST-segment-elevation myocardial infarction management involves primary percutaneous coronary intervention, with ongoing studies focusing on infarct size reduction using ancillary therapies. N-acetylcysteine (NAC) is an antioxidant with reactive oxygen species scavenging properties that also potentiates the effects of nitroglycerin and thus represents a potentially beneficial ancillary therapy in primary percutaneous coronary intervention. The NACIAM trial (N-acetylcysteine in Acute Myocardial Infarction) examined the effects of NAC on infarct size in patients with ST-segment-elevation myocardial infarction undergoing percutaneous coronary intervention.'"
"[('acetylcysteine', 'D12.125.166.230.259'), ('double-blind method', 'N06.850.520.445.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('nitrates', 'D02.583'), ('percutaneous coronary intervention', 'E04.502.382.968'), ('st elevation myocardial infarction', 'C14.907.585.500.875'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Acetylcysteine', 'Double-Blind Method', 'Female', 'Humans', 'Male', 'Middle Aged', 'Nitrates', 'Percutaneous Coronary Intervention', 'ST Elevation Myocardial Infarction', 'Treatment Outcome']","b'In first-line wild-type (WT)-Kirsten rat sarcoma viral oncogene homologue (KRAS) metastatic colorectal cancer (mCRC), panitumumab (Pmab) improves outcomes when added to FOLFOX [folinic acid, 5-fluorouracil, and oxaliplatin] or FOLFIRI [folinic acid, 5-fluorouracil, and irinotecan]. However no trial has directly compared these combinations.'"
"[('adult', 'M01.060.116'), ('feedback', 'L01.143.283.425.624.750'), ('food assistance', 'N03.219.521.346.506.281'), ('hispanic americans', 'M01.686.754.441'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('internet', 'L01.224.230.110.500'), ('outcome assessment (health care)', 'N05.715.360.575.575'), ('patient compliance', 'N05.300.150.600.600'), ('patient education as topic', 'N02.421.726.407.680'), ('postpartum period', 'G08.686.702'), ('poverty', 'N01.824.600'), ('program evaluation', 'N05.715.360.650'), ('sample size', 'N06.850.520.445.762'), ('self-help groups', 'N03.540.782'), ('single-blind method', 'N06.850.520.445.850'), ('text messaging', 'L01.178.847.698.300.500'), ('weight loss', 'G07.345.249.314.120.200.963')]","['Adult', 'Feedback', 'Female', 'Food Assistance', 'Hispanic Americans', 'Humans', 'Internet', 'Outcome Assessment (Health Care)', 'Patient Compliance', 'Patient Education as Topic', 'Postpartum Period', 'Poverty', 'Program Evaluation', 'Sample Size', 'Self-Help Groups', 'Single-Blind Method', 'Text Messaging', 'Weight Loss']","b'Postpartum weight retention increases lifetime risk of obesity and related morbidity. Few effective interventions exist for multicultural, low-income women.'"
"[('adult', 'M01.060.116'), ('feedback', 'L01.143.283.425.624.750'), ('food assistance', 'N03.219.521.346.506.281'), ('hispanic americans', 'M01.686.754.441'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('internet', 'L01.224.230.110.500'), ('outcome assessment (health care)', 'N05.715.360.575.575'), ('patient compliance', 'N05.300.150.600.600'), ('patient education as topic', 'N02.421.726.407.680'), ('postpartum period', 'G08.686.702'), ('poverty', 'N01.824.600'), ('program evaluation', 'N05.715.360.650'), ('sample size', 'N06.850.520.445.762'), ('self-help groups', 'N03.540.782'), ('single-blind method', 'N06.850.520.445.850'), ('text messaging', 'L01.178.847.698.300.500'), ('weight loss', 'G07.345.249.314.120.200.963')]","['Adult', 'Feedback', 'Female', 'Food Assistance', 'Hispanic Americans', 'Humans', 'Internet', 'Outcome Assessment (Health Care)', 'Patient Compliance', 'Patient Education as Topic', 'Postpartum Period', 'Poverty', 'Program Evaluation', 'Sample Size', 'Self-Help Groups', 'Single-Blind Method', 'Text Messaging', 'Weight Loss']","b'Combining biologic monoclonal antibodies with chemotherapeutic cytotoxic drugs provides clinical benefit to patients with advanced or metastatic colorectal cancer, but the optimal choice of the initial biologic therapy in previously untreated patients is unknown.'"
"[('aftercare', 'N04.590.233.727.210.063'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('arthroplasty', 'E04.680.101.115'), ('knee', 'A01.378.610.450'), ('double-blind method', 'N06.850.520.445.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('kaplan-meier estimate', 'N06.850.520.830.998.650'), ('knee prosthesis', 'E07.695.400.410'), ('middle aged', 'M01.060.116.630'), ('osteoarthritis', 'C05.799.613.750'), ('knee', 'A01.378.610.450'), ('prospective studies', 'N06.850.520.450.500.750.650'), ('prosthesis failure', 'E05.325.771'), ('surgery', 'L01.313.500.750.100.710.800'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Aftercare', 'Aged', 'Aged, 80 and over', 'Arthroplasty, Replacement, Knee', 'Double-Blind Method', 'Female', 'Humans', 'Kaplan-Meier Estimate', 'Knee Prosthesis', 'Male', 'Middle Aged', 'Osteoarthritis, Knee', 'Prospective Studies', 'Prosthesis Failure', 'Surgery, Computer-Assisted', 'Treatment Outcome']","b'The available comparative studies of computer navigation-assisted and conventional knee arthroplasties have short-term follow-up periods. Therefore, the clinical benefits after long-term follow-up are not clear. The purposes of the current long-term study were to compare clinical outcomes, alignment of the knee components, prevalence of aseptic loosening of the components, implant survival, and complications of total knee arthroplasties performed with and without computer navigation.'"
"[('aftercare', 'N04.590.233.727.210.063'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('arthroplasty', 'E04.680.101.115'), ('knee', 'A01.378.610.450'), ('double-blind method', 'N06.850.520.445.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('kaplan-meier estimate', 'N06.850.520.830.998.650'), ('knee prosthesis', 'E07.695.400.410'), ('middle aged', 'M01.060.116.630'), ('osteoarthritis', 'C05.799.613.750'), ('knee', 'A01.378.610.450'), ('prospective studies', 'N06.850.520.450.500.750.650'), ('prosthesis failure', 'E05.325.771'), ('surgery', 'L01.313.500.750.100.710.800'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Aftercare', 'Aged', 'Aged, 80 and over', 'Arthroplasty, Replacement, Knee', 'Double-Blind Method', 'Female', 'Humans', 'Kaplan-Meier Estimate', 'Knee Prosthesis', 'Male', 'Middle Aged', 'Osteoarthritis, Knee', 'Prospective Studies', 'Prosthesis Failure', 'Surgery, Computer-Assisted', 'Treatment Outcome']","b'Cartilage lesions of the knee are difficult to treat. Lesion size is a critical factor in treatment algorithms, and the accurate, reproducible sizing of lesions is important. In this study, we evaluated the interrater and intrarater reliability of, and correlations in relation to, various arthroscopic sizing techniques.'"
"[('adult', 'M01.060.116'), ('catheterization', 'E05.157.375.165'), ('catheterization', 'E05.157.375.165'), ('central venous pressure', 'G09.330.380.076.732.336'), ('double-blind method', 'N06.850.520.445.300'), ('hepatectomy', 'E04.210.556'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('linear models', 'N06.850.520.830.750.425'), ('liver', 'E07.858.082.620'), ('living donors', 'M01.898.656'), ('middle aged', 'M01.060.116.630'), ('milrinone', 'D03.383.725.050.085.543'), ('monitoring', 'E05.478.594.550'), ('multivariate analysis', 'N06.850.520.830.150.500'), ('platelet aggregation inhibitors', 'D27.505.954.502.780'), ('prospective studies', 'N06.850.520.450.500.750.650'), ('sample size', 'N06.850.520.445.762'), ('stroke volume', 'G09.330.380.124.882')]","['Adult', 'Catheterization', 'Catheterization, Central Venous', 'Central Venous Pressure', 'Double-Blind Method', 'Female', 'Hepatectomy', 'Humans', 'Linear Models', 'Liver', 'Living Donors', 'Male', 'Middle Aged', 'Milrinone', 'Monitoring, Intraoperative', 'Multivariate Analysis', 'Platelet Aggregation Inhibitors', 'Prospective Studies', 'Sample Size', 'Stroke Volume']","b'We previously demonstrated the usefulness of milrinone for living donor hepatectomy. However, a less-invasive alternative to central venous catheterization and perioperative contributors to good surgical outcomes remain undetermined. The current study evaluated whether the stroke volume variation (SVV)-guided method can substitute central venous catheterization during milrinone-induced profound vasodilation.'"
"[('adult', 'M01.060.116'), ('catheterization', 'E05.157.375.165'), ('catheterization', 'E05.157.375.165'), ('central venous pressure', 'G09.330.380.076.732.336'), ('double-blind method', 'N06.850.520.445.300'), ('hepatectomy', 'E04.210.556'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('linear models', 'N06.850.520.830.750.425'), ('liver', 'E07.858.082.620'), ('living donors', 'M01.898.656'), ('middle aged', 'M01.060.116.630'), ('milrinone', 'D03.383.725.050.085.543'), ('monitoring', 'E05.478.594.550'), ('multivariate analysis', 'N06.850.520.830.150.500'), ('platelet aggregation inhibitors', 'D27.505.954.502.780'), ('prospective studies', 'N06.850.520.450.500.750.650'), ('sample size', 'N06.850.520.445.762'), ('stroke volume', 'G09.330.380.124.882')]","['Adult', 'Catheterization', 'Catheterization, Central Venous', 'Central Venous Pressure', 'Double-Blind Method', 'Female', 'Hepatectomy', 'Humans', 'Linear Models', 'Liver', 'Living Donors', 'Male', 'Middle Aged', 'Milrinone', 'Monitoring, Intraoperative', 'Multivariate Analysis', 'Platelet Aggregation Inhibitors', 'Prospective Studies', 'Sample Size', 'Stroke Volume']","b'Pain intensity ratings and opioid consumption (OC) are ubiquitous indicators of pain in postoperative trials of the efficacy of interventional procedures. Unfortunately, consensus on the appropriate statistical handling of these outcomes has not been reached. The aim of this article was, therefore, to reexamine original data obtained from a postoperative analgesic drug trial, applying a collection of standard statistical methods in analgesic outcome assessments. Furthermore, a modified integrated assessment method of these outcomes was evaluated.'"
"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('aphasia', 'F03.615.400.125'), ('central nervous system stimulants', 'D27.505.954.427.220'), ('combined modality therapy', 'E02.186'), ('cross-over studies', 'N06.850.520.445.150'), ('dextroamphetamine', 'D02.092.471.683.152.110.200'), ('double-blind method', 'N06.850.520.445.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('language', 'L01.143.506'), ('middle aged', 'M01.060.116.630'), ('recovery of function', 'G16.757'), ('speech', 'L01.143.506.423.676'), ('speech therapy', 'E02.831.727.552'), ('stroke', 'C14.907.253.855.600'), ('stroke rehabilitation', 'N02.421.784.511.500'), ('transcranial direct current stimulation', 'F04.669.224.650'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Adult', 'Aged', 'Aged, 80 and over', 'Aphasia', 'Central Nervous System Stimulants', 'Combined Modality Therapy', 'Cross-Over Studies', 'Dextroamphetamine', 'Double-Blind Method', 'Female', 'Humans', 'Language', 'Male', 'Middle Aged', 'Recovery of Function', 'Speech', 'Speech Therapy', 'Stroke', 'Stroke Rehabilitation', 'Transcranial Direct Current Stimulation', 'Treatment Outcome']","b'There is a growing need for various effective adjunctive treatment options for speech recovery after stroke. A pharmacological agent combined with noninvasive brain stimulation has not been previously reported for poststroke aphasia recovery. In this ""proof of concept"" study, we aimed to test the safety of a combined intervention consisting of dextroamphetamine, transcranial direct current stimulation, and speech and language therapy in subjects with nonfluent aphasia. Ten subjects with chronic nonfluent aphasia underwent two experiments where they received dextroamphetamine or placebo along with transcranial direct current stimulation and speech and language therapy on two separate days. The Western Aphasia Battery-Revised was used to monitor changes in speech performance. No serious adverse events were observed. There was no significant increase in blood pressure with amphetamine or deterioration in speech and language performance. Western Aphasia Battery-Revised aphasia quotient and language quotient showed a statistically significant increase in the active experiment. Comparison of proportional changes of aphasia quotient and language quotient in active experiment with those in placebo experiment showed significant difference. We showed that the triple combination therapy is safe and implementable and seems to induce positive changes in speech and language performance in the patients with chronic nonfluent aphasia due to stroke.'"
"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('aphasia', 'F03.615.400.125'), ('central nervous system stimulants', 'D27.505.954.427.220'), ('combined modality therapy', 'E02.186'), ('cross-over studies', 'N06.850.520.445.150'), ('dextroamphetamine', 'D02.092.471.683.152.110.200'), ('double-blind method', 'N06.850.520.445.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('language', 'L01.143.506'), ('middle aged', 'M01.060.116.630'), ('recovery of function', 'G16.757'), ('speech', 'L01.143.506.423.676'), ('speech therapy', 'E02.831.727.552'), ('stroke', 'C14.907.253.855.600'), ('stroke rehabilitation', 'N02.421.784.511.500'), ('transcranial direct current stimulation', 'F04.669.224.650'), ('treatment outcome', 'N05.715.360.575.575.800')]","['Adult', 'Aged', 'Aged, 80 and over', 'Aphasia', 'Central Nervous System Stimulants', 'Combined Modality Therapy', 'Cross-Over Studies', 'Dextroamphetamine', 'Double-Blind Method', 'Female', 'Humans', 'Language', 'Male', 'Middle Aged', 'Recovery of Function', 'Speech', 'Speech Therapy', 'Stroke', 'Stroke Rehabilitation', 'Transcranial Direct Current Stimulation', 'Treatment Outcome']","b'Purpose We compared two induction regimens, idarubicin (12 mg/m(2)/d for 3 days) versus high-dose daunorubicin (90 mg/m(2)/d for 3 days), in young adults with newly diagnosed acute myeloid leukemia (AML). Patients and Methods A total of 299 patients (149 randomly assigned to cytarabine plus idarubicin [AI] and 150 assigned to cytarabine plus high-dose daunorubicin [AD]) were analyzed. All patients received cytarabine (200 mg/m(2)/d for 7 days). Results Complete remission (CR) was induced in 232 patients (77.6%), with no difference in CR rates between the AI and AD arms (80.5% v 74.7%, respectively; P = .224). At a median follow-up time of 34.9 months, survival and relapse rates did not differ between the AI and AD arms (4-year overall survival, 51.1% v 54.7%, respectively; P = .756; cumulative incidence of relapse, 35.2% v 25.1%, respectively; P = .194; event-free survival, 45.5% v 50.8%, respectively; P = .772). Toxicity profiles were also similar in the two arms. Interestingly, overall and event-free survival times of patients with FLT3 internal tandem duplication (ITD) mutation were significantly different (AI v AD: median overall survival, 15.5 months v not reached, respectively; P = .030; event-free survival, 11.9 months v not reached, respectively; P = .028). Conclusion This phase III trial comparing idarubicin with high-dose daunorubicin did not find significant differences in CR rates, relapse, and survival. Significant interaction between the treatment arm and the FLT3-ITD mutation was found, and high-dose daunorubicin was more effective than idarubicin in patients with FLT3-ITD mutation.'"
"[('aged', 'M01.060.116.100.080'), ('biomarkers', 'D23.101.140'), ('cell nucleus', 'A11.284.430.214.190.875.117'), ('disease-free survival', 'N06.850.520.830.998.300'), ('drug administration schedule', 'E02.319.283'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('kallikreins', 'D23.119.597'), ('neoplastic cells', 'C23.550.727.650.900'), ('prostate-specific antigen', 'D23.101.140.625'), ('prostatic neoplasms', 'C12.758.409.750.500'), ('receptors', 'J01.637.087.750'), ('taxoids', 'D02.455.849.291.850')]","['Aged', 'Biomarkers, Tumor', 'Cell Nucleus', 'Disease-Free Survival', 'Drug Administration Schedule', 'Humans', 'Kallikreins', 'Male', 'Neoplastic Cells, Circulating', 'Prostate-Specific Antigen', 'Prostatic Neoplasms, Castration-Resistant', 'Receptors, Androgen', 'Taxoids']","b'Purpose The TAXYNERGY trial ( ClinicalTrials.gov identifier: NCT01718353) evaluated clinical benefit from early taxane switch and circulating tumor cell (CTC) biomarkers to interrogate mechanisms of sensitivity or resistance to taxanes in men with chemotherapy-na\xc3\xafve, metastatic, castration-resistant prostate cancer. Patients and Methods Patients were randomly assigned 2:1 to docetaxel or cabazitaxel. Men who did not achieve \xe2\x89\xa5 30% prostate-specific antigen (PSA) decline by cycle 4 (C4) switched taxane. The primary clinical endpoint was confirmed \xe2\x89\xa5 50% PSA decline versus historical control (TAX327). The primary biomarker endpoint was analysis of post-treatment CTCs to confirm the hypothesis that clinical response was associated with taxane drug-target engagement, evidenced by decreased percent androgen receptor nuclear localization (%ARNL) and increased microtubule bundling. Results Sixty-three patients were randomly assigned to docetaxel (n = 41) or cabazitaxel (n = 22); 44.4% received prior potent androgen receptor-targeted therapy. Overall, 35 patients (55.6%) had confirmed \xe2\x89\xa5 50% PSA responses, exceeding the historical control rate of 45.4% (TAX327). Of 61 treated patients, 33 (54.1%) had \xe2\x89\xa5 30% PSA declines by C4 and did not switch taxane, 15 patients (24.6%) who did not achieve \xe2\x89\xa5 30% PSA declines by C4 switched taxane, and 13 patients (21.3%) discontinued therapy before or at C4. Of patients switching taxane, 46.7% subsequently achieved \xe2\x89\xa5 50% PSA decrease. In 26 CTC-evaluable patients, taxane-induced decrease in %ARNL (cycle 1 day 1 v cycle 1 day 8) was associated with a higher rate of \xe2\x89\xa5 50% PSA decrease at C4 ( P = .009). Median composite progression-free survival was 9.1 months (95% CI, 4.9 to 11.7 months); median overall survival was not reached at 14 months. Common grade 3 or 4 adverse events included fatigue (13.1%) and febrile neutropenia (11.5%). Conclusion The early taxane switch strategy was associated with improved PSA response rates versus TAX327. Taxane-induced shifts in %ARNL may serve as an early biomarker of clinical benefit in patients treated with taxanes.'"
"[('aged', 'M01.060.116.100.080'), ('biomarkers', 'D23.101.140'), ('cell nucleus', 'A11.284.430.214.190.875.117'), ('disease-free survival', 'N06.850.520.830.998.300'), ('drug administration schedule', 'E02.319.283'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('kallikreins', 'D23.119.597'), ('neoplastic cells', 'C23.550.727.650.900'), ('prostate-specific antigen', 'D23.101.140.625'), ('prostatic neoplasms', 'C12.758.409.750.500'), ('receptors', 'J01.637.087.750'), ('taxoids', 'D02.455.849.291.850')]","['Aged', 'Biomarkers, Tumor', 'Cell Nucleus', 'Disease-Free Survival', 'Drug Administration Schedule', 'Humans', 'Kallikreins', 'Male', 'Neoplastic Cells, Circulating', 'Prostate-Specific Antigen', 'Prostatic Neoplasms, Castration-Resistant', 'Receptors, Androgen', 'Taxoids']","b'Recent randomized trials demonstrated that laparoscopic lavage compared with resection for Hinchey III perforated diverticulitis was associated with similar mortality, less stoma formation but a higher rate of early reintervention. The aim of this study was to compare 1-year outcomes in patients who participated in the randomized Scandinavian Diverticulitis (SCANDIV) trial.'"
"[('adult', 'M01.060.116'), ('anti-inflammatory agents', 'D27.505.954.329.030'), ('drug monitoring', 'E01.370.520.200'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('dysphonia', 'C23.888.592.979.325'), ('expectorants', 'D27.505.954.796.250'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('laryngoscopy', 'E04.580.373'), ('materia medica', 'D26.526'), ('middle aged', 'M01.060.116.630'), ('occupational diseases', 'C24'), ('treatment outcome', 'N05.715.360.575.575.800'), ('voice quality', 'G09.772.925.960')]","['Adult', 'Anti-Inflammatory Agents', 'Drug Monitoring', 'Drug Therapy, Combination', 'Dysphonia', 'Expectorants', 'Female', 'Humans', 'Laryngoscopy', 'Male', 'Materia Medica', 'Middle Aged', 'Occupational Diseases', 'Treatment Outcome', 'Voice Quality']","b'The objective of the present study was to evaluate the effectiveness of the application of homeovox for the combined treatment of small vocal cord nodules and acute laryngitis in the professional voice users. A total of 40 subjects presenting with dysphonia were examined after they were divided into two study groups and two groups of comparison depending on the nosological form of the pathological condition. The subjects comprising the study groups were given traditional therapy in the combination with the intake of homeovox whereas the patients included in the two groups of comparison received the traditional treatment alone. The outcome of the treatment was evaluated on days 1, 5, and 10 after the initiation of therapy based on the analysis of the changes in the videoendostroboscopic picture of the larynx and the acoustic characteristics obtained by the computer-assisted analysis of the voice. The analysis of the results of the combined treatment has demonstrated the statistically significant differences in some acoustic parameters of the voice between the subjects with small vocal cord nodules and acute laryngitis belonging to the study groups and the groups of comparison. It is concluded that the introduction of homeovox in the combined treatment of the patients presenting with the small nodules in the vocal cords and acute catarrhal laryngitis accelerates the recovery of the acoustic characteristics of the voice within various periods after the onset of the treatment in comparison with the patients treated with the use of traditional therapy alone.'"
"[('adult', 'M01.060.116'), ('anti-inflammatory agents', 'D27.505.954.329.030'), ('drug monitoring', 'E01.370.520.200'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('dysphonia', 'C23.888.592.979.325'), ('expectorants', 'D27.505.954.796.250'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('laryngoscopy', 'E04.580.373'), ('materia medica', 'D26.526'), ('middle aged', 'M01.060.116.630'), ('occupational diseases', 'C24'), ('treatment outcome', 'N05.715.360.575.575.800'), ('voice quality', 'G09.772.925.960')]","['Adult', 'Anti-Inflammatory Agents', 'Drug Monitoring', 'Drug Therapy, Combination', 'Dysphonia', 'Expectorants', 'Female', 'Humans', 'Laryngoscopy', 'Male', 'Materia Medica', 'Middle Aged', 'Occupational Diseases', 'Treatment Outcome', 'Voice Quality']","b'The aim of this study was to describe serial changes in echocardiographic Doppler pulmonary vein flow (PVF) patterns in infants with single right ventricle (RV) anomalies enrolled in the Single Ventricle Reconstruction trial. Measurement of PVF peak systolic (S) and diastolic (D) velocities, velocity time integrals (VTI), S/D peak velocity and VTI ratios, and frequency of atrial reversal (Ar) waves were made at three postoperative time points in 261 infants: early post-Norwood, pre-stage II surgery, and 14\xc2\xa0months. Indices were compared over time, between initial shunt type [modified Blalock-Taussig shunt (MBTS) and right ventricle-to-pulmonary artery shunt (RVPAS)] and in relation to clinical outcomes. S velocities and VTI increased over time while D wave was stable, resulting in increasing S/D peak velocity and VTI ratios, with a median post-Norwood S/D VTI ratio of 1.14 versus 1.38 at pre-stage II and 1.89 at 14\xc2\xa0months (P\xc2\xa0<\xc2\xa00.0001 between intervals). MBTS subjects had significantly higher S/D peak velocity and VTI ratios compared to RVPAS at the post-Norwood and pre-stage II time points (P\xc2\xa0<\xc2\xa00.0001) but not by 14\xc2\xa0months. PVF patterns did not correlate with survival or hospitalization course at 1\xc2\xa0year. PVF patterns after Norwood palliation differ from normal infants by having a dominant systolic pattern throughout infancy. PVF differences based upon shunt type resolve by 14\xc2\xa0months and did not correlate with clinical outcomes. This study describes normative values and variations in PVF for infants with a single RV from shunt-dependent pulmonary blood flow to cavopulmonary blood flow.'"
