mesh terms,abstract,sequence
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']","b'The rate of obesity among US women has been increasing, and obesity is associated with increased risk of surgical site infection (SSI) following cesarean delivery. The optimal perioperative antibiotic prophylactic regimen in this high-risk population undergoing cesarean delivery is unknown.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']","b'Several per- and polyfluoroalkyl substances (PFAS) are ubiquitous anthropogenic pollutants almost universally detected in humans. Experimental evidence indicates that PFAS alter glucose metabolism and insulin secretion. However, epidemiological studies have yielded inconsistent results.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']",b'Warfarin use accounts for more medication-related emergency department visits among older patients than any other drug. Whether genotype-guided warfarin dosing can prevent these adverse events is unknown.',"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']","b'Hypoxia is common in the first few days after acute stroke, is frequently intermittent, and is often undetected. Oxygen supplementation could prevent hypoxia and secondary neurological deterioration and thus has the potential to improve recovery.'","[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']",b'The effects of recruitment maneuvers and positive end-expiratory pressure (PEEP) titration on clinical outcomes in patients with acute respiratory distress syndrome (ARDS) remain uncertain.',"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']",b'To compare surgically induced astigmatism (SIA) and refractive outcomes between two operation methods for late in-the-bag IOL dislocation.',"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']",b'To correlate ellipsoid zone (EZ) defects on spectral-domain optical coherence tomography (SD-OCT) with retinal sensitivity loss on macular integrity assessment (MAIA) microperimetry in macular telangiectasia type 2 (MacTel).',"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Adult', 'Aged', 'Aged, 80 and over', 'Anti-Anxiety Agents', 'Antipsychotic Agents', 'Delirium', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Haloperidol', 'Hospitalization', 'Humans', 'Lorazepam', 'Male', 'Middle Aged', 'Neoplasms', 'Palliative Care']",b'The effect of an early resuscitation protocol on sepsis outcomes in developing countries remains unknown.',"[('adult', 'M01.060.116'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('anti-anxiety agents', 'D27.505.954.427.700.872.015'), ('antipsychotic agents', 'D27.505.954.427.700.872.331'), ('delirium', 'F03.615.350'), ('double-blind method', 'N06.850.520.445.300'), ('drug therapy', 'L01.313.500.750.100.710.180'), ('haloperidol', 'D02.522.352.506'), ('hospitalization', 'N02.421.585.400'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('lorazepam', 'D03.633.100.079.080.070.450'), ('middle aged', 'M01.060.116.630'), ('neoplasms', 'G01.750.748.500.476'), ('palliative care', 'N02.421.585.666')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']","b'Perioperative hypotension is associated with an increase in postoperative morbidity and mortality, but the appropriate management strategy remains uncertain.'","[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']","b'Two small trials suggest that low-dose intravenous immunoglobulin (IVIg) may improve the symptoms of complex regional pain syndrome (CRPS), a rare posttraumatic pain condition.'","[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']",b'The high mortality rate in critically ill elderly patients has led to questioning of the beneficial effect of intensive care unit (ICU) admission and to a variable ICU use among this population.',"[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']","b'Even though robotic rehabilitation is very useful to improve motor function, there is no conclusive evidence on its role in reducing post-stroke spasticity. Focal muscle vibration (MV) is instead very useful to reduce segmental spasticity, with a consequent positive effect on motor function. Therefore, it could be possible to strengthen the effects of robotic rehabilitation by coupling MV. To this end, we designed a pilot randomized controlled trial (Clinical Trial NCT03110718) that included twenty patients suffering from unilateral post-stroke upper limb spasticity. Patients underwent 40 daily sessions of Armeo-Power training (1 hour/session, 5 sessions/week, for 8 weeks) with or without spastic antagonist MV. They were randomized into two groups of 10 individuals, which received (group-A) or not (group-B) MV. The intensity of MV, represented by the peak acceleration (a-peak), was calculated by the formula (2\xcf\x80f)2A, where f is the frequency of MV and A is the amplitude. Modified Ashworth Scale (MAS), short intracortical inhibition (SICI), and Hmax/Mmax ratio (HMR) were the primary outcomes measured before and after (immediately and 4 weeks later) the end of the treatment. In all patients of group-A, we observed a greater reduction of MAS (p = 0.007, d = 0.6) and HMR (p<0.001, d = 0.7), and a more evident increase of SICI (p<0.001, d = 0.7) up to 4 weeks after the end of the treatment, as compared to group-B. Likewise, group-A showed a greater function outcome of upper limb (Functional Independence Measure p = 0.1, d = 0.7; Fugl-Meyer Assessment of the Upper Extremity p = 0.007, d = 0.4) up to 4 weeks after the end of the treatment. A significant correlation was found between the degree of MAS reduction and SICI increase in the agonist spastic muscles (p = 0.004). Our data show that this combined rehabilitative approach could be a promising option in improving upper limb spasticity and motor function. We could hypothesize that the greater rehabilitative outcome improvement may depend on a reshape of corticospinal plasticity induced by a sort of associative plasticity between Armeo-Power and MV.'","[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']","b'Total knee arthroplasty (TKA) is associated with declines in hip abductor (HA) muscle strength; however, a longitudinal analysis demonstrating the influence of TKA on trajectories of HA strength change has not been conducted.'","[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']","b'The aim of this randomized controlled trial was to analyze inexperienced dental students\' perceptions of the difficulty and applicability of digital and conventional implant impressions and their preferences including performance. Fifty undergraduate dental students at a dental school in Switzerland were randomly divided into two groups (2\xc3\x9725). Group A first took digital impressions in a standardized phantom model and then conventional impressions, while the procedures were reversed for Group B. Participants were asked to complete a VAS questionnaire (0-100) on the level of difficulty and applicability (user/patient-friendliness) of both techniques. They were asked which technique they preferred and perceived to be more efficient. A quotient of ""effective scan time per software-recorded time"" (TRIOS) was calculated as an objective quality indicator for intraoral optical scanning (IOS). The majority of students perceived IOS as easier than the conventional technique. Most (72%) preferred the digital approach using IOS to take the implant impression to the conventional method (12%) or had no preference (12%). Although total work was similar for males and females, the TRIOS quotient indicated that male students tended to use their time more efficiently. In this study, dental students with no clinical experience were very capable of acquiring digital tools, indicating that digital impression techniques can be included early in the dental curriculum to help them catch up with ongoing development in computer-assisted technologies used in oral rehabilitation.'","[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']","b""Due to postural demands, dental professionals are at high risk for developing work-related musculoskeletal disorders (WMSDs). Dental clinicians' lack of ergonomic awareness may impede the clinical application of recommendations to improve their posture. The aim of this study was to determine whether feedback involving photography and self-assessment would improve dental hygiene students' ergonomic scores and accuracy of their ergonomic self-assessments. The study involved a randomized control design and used a convenience sample of all 32 junior-year dental hygiene students enrolled in the autumn 2016 term in The Ohio State University baccalaureate dental hygiene program. Sixteen students were randomly assigned to each of two groups (control and training). At weeks one and four, all participants were photographed and completed ergonomic self-evaluations using the Modified-Dental Operator Posture Assessment Instrument (M-DOPAI). During weeks two and three, participants in the training group were photographed again and used those photographs to complete ergonomic self-assessments. All participants' pre-training and post-training photographs were given ergonomic scores by three raters. Students' self-assessments in the control group and faculty evaluations of the training group showed significant improvement in scores over time (F(1,60)=4.25, p<0.05). In addition, the accuracy of self-assessment significantly improved for students in the training group (F(1,30)=8.29, p<0.01). In this study, dental hygiene students' self-assessments using photographs resulted in improvements in their ergonomic scores and increased accuracy of their ergonomic self-assessments. Any improvement in ergonomic score or awareness can help reduce the risks for WMSDs, especially among dental clinicians.""","[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']","b'One major challenge in prioritizing health care using cost-effectiveness (CE) information is when alternatives are more expensive but more effective than existing technology. In such a situation, an external criterion in the form of a CE threshold that reflects the willingness to pay (WTP) per quality-adjusted life-year is necessary.'","[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']",b'We compared the clinical and radiological outcomes of using a polyetheretherketone cage with (TiPEEK) and without a titanium coating (PEEK) for instrumented transforaminal lumbar interbody fusion (TLIF).',"[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
"['Abdomen', 'Aged', 'Blood Pressure Determination', 'Cardiovascular Diseases', 'Epinephrine', 'Female', 'Humans', 'Hypotension', 'Intention to Treat Analysis', 'Kidney Diseases', 'Length of Stay', 'Male', 'Middle Aged', 'Norepinephrine', 'Postoperative Care', 'Postoperative Complications', 'Precision Medicine', 'Respiratory Tract Diseases', 'Surgical Procedures, Operative', 'Systemic Inflammatory Response Syndrome', 'Vasoconstrictor Agents']",b'The aim of this study was to determine whether the sequential application of povidone iodine-alcohol (PVI) followed by chlorhexidine gluconate-alcohol (CHG) would reduce surgical wound contamination to a greater extent than PVI applied twice in patients undergoing spinal surgery.',"[('abdomen', 'C23.888.821.030.249'), ('aged', 'M01.060.116.100.080'), ('blood pressure determination', 'E01.370.600.100'), ('cardiovascular diseases', 'C14'), ('epinephrine', 'D02.092.311.461'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('hypotension', 'E03.545'), ('intention to treat analysis', 'N06.850.520.450.250.250.365.500.500'), ('kidney diseases', 'C13.351.968.419.403'), ('length of stay', 'N02.421.585.400.480'), ('middle aged', 'M01.060.116.630'), ('norepinephrine', 'D02.092.311.461.484'), ('postoperative care', 'N02.421.585.722.700'), ('postoperative complications', 'C23.550.767'), ('precision medicine', 'H02.403.200.700'), ('respiratory tract diseases', 'C08'), ('surgical procedures', 'E04'), ('systemic inflammatory response syndrome', 'C23.550.835.900'), ('vasoconstrictor agents', 'D27.505.954.411.793')]"
